id_projeto,titulo,situacao,unidade_lista,sigla_unidade_lista,score_bm25,score_dense,score_rrf
5209,ATELIÊ DE MODA E INDUMENTÁRIA,Ativo,Departamento de Comunicação Social,DCS/CAr,10.491193283555384,0.83419317,0.002481095104045924
3131,Tradução de Textos Científicos para Língua Brasileira de Sinais (Libras),Inadimplente,Coordenação do Curso de Letras - Libras,,10.117446260495637,0.8360769,0.0024787902673774607
502,Atendimento nutricional com foco no comportamento alimentar,Ativo,Departamento de Farmácia e Nutrição,DFN/CCENS,10.852997941080853,0.8301729,0.0024776667458302126
5343,VIRALIZA – Seminários de Pesquisa e Divulgação em Virologia,Ativo,Coordenação do Programa de Pós-Graduação em Doenças Infecciosas,PPGDI/CCS,8.606536496573804,0.84057397,0.0024772074608972036
5395,"MARÉS CRIATIVAS  Arte/Educação, Mediação Cultural e Territórios no Cais das Artes",Ativo,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,10.988480913402102,0.8286601,0.0024759329018963906
2935,Oceano Digital e a divulgação da Cultura oceânica ,Ativo,Departamento de Oceanografia e Ecologia,DOE/CCHN,8.007130633762847,0.8412572,0.002469182247971609
1424,Prosas literárias: Biopolítica e Biopoder em Hilda Hilst e Jorge Amado,Concluído,Programa de Pós-Graduação em Letras,PPGLe/CCHN,10.832861965622296,0.830456,0.00246845984669323
324,Projeto Vida Saudável,Ativo,Departamento de Desportos,DD/CEFD,10.68151633127563,0.83210987,0.002468277463791952
4353,Unapi e Engenharia: formação cidadã de estudantes e promoção de bem-estar e aprendizagem à pessoa idosa.,Ativo,Departamento de Engenharia Elétrica,DEE/CT,8.976997073497888,0.8392052,0.002463781957535203
1669,DIAGNÓSTICO LABORATORIAL DE INFECÇÕES FÚNGICAS DE PACIENTES ATENDIDOS NO HOSPITAL UNIVERSITÁRIO CASSIANO ANTÔNIO MORAES,Ativo,Departamento de Patologia,DPA/CCS,10.950077482069764,0.8284189,0.002463028116836655
2853,Arte Pública capixaba: formação de professores da Educação Básica,Inadimplente,Programa de Pós-Graduação em Artes,PPGA/CAr,10.899623670977931,0.829374,0.0024626134471569198
1620,"GESAN-Sul: Grupo de Estudos em Segurança Alimentar e Nutricional Prof. Pedro Kitoko, da Região Sul do Espírito Santo",Inadimplente,Departamento de Farmácia e Nutrição,DFN/CCENS,8.988271391278055,0.8391606,0.002460712071350217
559,"PROGRAMA DE EXTENSÃO ""NÚCLEO DE ESTUDOS DO TRABALHO - NET""",Concluído,Departamento de Serviço Social,DSS/CCJE,10.759528308093351,0.8311825,0.002458222015765633
3985,PADPES - O Programa de pesquisa voltado a análise de dados do PADUFES ,Ativo,Departamento de Medicina Especializada,DME/CCS,10.620188191054352,0.8326932,0.002458207916729322
